FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - Presence of violation,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6061,California,Placer,2016,3091,4924,4655,5192,-0.83,11,11,11,-1.37,3.3,3.1,3.4,-1.25,11,11,12,-1.07,23,20,26,-0.4,38368,13,12,14,-1.71,440,120,835:1,-1.63,32241,29,27,31,-1.03,70,67,73,-1.67,11053,176474,6.3,-0.8,8188,10,8,12,-1.71,137055,30946,4.4,-0.64,9.3,0.48,Yes,0.48,26620,20,19,21,-1.23
6063,California,Plumas,2016,325,8756,6938,10573,1.42,14,14,14,-0.59,3.8,3.7,4,-0.14,13,13,14,0,24,19,30,-0.04,2586,18,16,20,-0.04,15,80,1257:1,-0.28,4542,53,46,60,1.07,65,57,73,-0.77,952,8140,11.7,0.86,679,22,16,28,-0.1,89964,18317,4.9,0.22,10.4,1.46,Yes,0.48,1865,20,17,24,-1.15
6065,California,Riverside,2016,19465,5589,5483,5696,-0.44,18,18,19,0.5,4.2,4.1,4.3,0.74,14,14,14,0.45,26,23,28,0.38,431410,22,21,23,1.04,946,41,2423:1,1,113192,44,43,45,0.27,58,56,59,0.48,83372,1010706,8.2,-0.19,141970,24,22,25,0.16,110055,23943,4.6,-0.34,9.4,0.57,Yes,0.48,192095,28,28,29,1
6067,California,Sacramento,2016,14304,6293,6153,6432,-0.03,16,16,16,-0.07,3.9,3.8,4,0.08,15,15,15,0.96,27,25,29,0.69,214090,17,16,18,-0.47,1177,80,1242:1,-0.31,79757,36,34,37,-0.46,60,58,61,0.13,49979,682174,7.3,-0.47,84938,24,22,26,0.2,109436,22886,4.8,-0.01,8.7,-0.09,Yes,0.48,122310,24,23,24,-0.23
6069,California,San Benito,2016,415,5054,4396,5712,-0.75,18,17,18,0.37,3.9,3.7,4,0.08,12,12,13,-0.51,24,18,30,-0.06,9805,19,17,21,0.25,21,36,2743:1,1.16,5396,53,47,59,1.07,64,57,72,-0.59,2731,29242,9.3,0.14,3056,20,16,24,-0.34,123469,30537,4,-1.32,7.9,-0.77,Yes,0.48,5050,30,27,33,1.44
6071,California,San Bernardino,2016,19384,6445,6328,6563,0.06,21,20,21,1.15,4.3,4.2,4.4,0.97,14,14,15,0.45,29,26,31,1.27,377512,20,20,21,0.61,1200,57,1740:1,0.46,78940,52,51,54,1.01,51,49,52,1.74,73197,909188,8.1,-0.25,159554,28,26,30,0.8,104792,22431,4.7,-0.21,10.4,1.5,Yes,0.48,172635,29,28,29,1.11
6073,California,San Diego,2016,23996,4871,4788,4954,-0.86,14,14,15,-0.49,3.4,3.3,3.5,-1.03,12,12,12,-0.85,20,19,22,-1.1,490023,18,17,19,-0.16,2530,79,1269:1,-0.26,200553,36,35,37,-0.46,56,54,57,0.84,99216,1546363,6.4,-0.75,135884,19,17,20,-0.46,127710,26233,4.9,0.14,7.9,-0.83,Yes,0.48,284235,27,26,27,0.52
6075,California,San Francisco,2016,6709,4930,4759,5102,-0.82,11,11,11,-1.29,3.2,3.1,3.3,-1.48,12,11,12,-1.02,15,13,17,-2.6,88387,12,11,13,-1.8,1331,159,629:1,-2.94,60949,35,34,36,-0.53,62,59,64,-0.23,23307,532645,4.4,-1.38,15224,14,11,17,-1.18,168480,24408,6.9,3.74,8,-0.73,No,-2.03,93090,27,27,28,0.71
6077,California,San Joaquin,2016,7152,6986,6775,7198,0.38,19,18,19,0.6,4,3.9,4.1,0.3,14,14,14,0.34,29,26,33,1.47,118403,19,18,20,0.23,420,60,1677:1,0.39,45147,48,46,50,0.58,57,55,60,0.66,33094,311061,10.6,0.54,53907,28,25,30,0.7,106884,22172,4.8,0.05,8.9,0.1,Yes,0.48,60305,28,27,29,0.96
6079,California,San Luis Obispo,2016,2480,5411,5077,5745,-0.54,13,13,14,-0.8,3.5,3.3,3.6,-0.81,12,12,13,-0.51,22,19,25,-0.65,33835,16,14,17,-0.8,226,82,1223:1,-0.36,39033,27,25,28,-1.27,66,63,69,-0.95,7838,139865,5.6,-1,7765,16,12,19,-0.91,114652,24743,4.6,-0.28,7.5,-1.2,Yes,0.48,25035,25,23,26,-0.02
