FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6065,California,Riverside,2014,18650,5960,5847,6072,-0.31,4974,20,18,21,0.26,4958,4,3.7,4.3,0.12,4874,15,13,16,-0.08,27,25,29,0.77,433323,22,21,23,0.95,894,40,2505:1,1.01,107797,54,52,55,0.3,57.3,55.7,58.9,0.61,115639,944458,12.2,0,151799,25,23,26,0.16,9.4,0.57,1,21036,-0.46,188575,28,28,29,1.02
6067,California,Sacramento,2014,13446,6447,6304,6589,0.02,3768,14,12,16,-0.82,3747,3.5,3.2,3.8,-0.56,3696,15,13,16,-0.08,28,26,30,0.97,203576,16,15,17,-0.81,1100,77,1306:1,-0.28,73947,42,40,43,-0.6,58.5,56.6,60.5,0.4,71834,680349,10.6,-0.45,95891,27,25,29,0.43,8.7,-0.09,0,553,-0.55,117940,23,23,24,-0.33
6069,California,San Benito,2014,391,4955,4312,5598,-1,155,18,13,25,-0.01,154,3.6,2.4,4.8,-0.43,,,,,0,24,19,31,0.02,9692,19,18,21,0.1,20,36,2804:1,1.16,5159,54,48,61,0.32,61.2,53.9,68.5,-0.06,3695,26611,13.9,0.44,2827,18,14,22,-0.72,7.9,-0.77,0,0,-0.55,5200,31,28,34,1.73
6071,California,San Bernardino,2014,18565,6760,6638,6882,0.23,4545,19,18,21,0.24,4525,4.2,3.9,4.5,0.4,4452,16,15,18,0.27,28,26,30,1.11,400347,22,21,23,0.78,1135,55,1820:1,0.48,75368,61,59,63,0.83,51,49.3,52.7,1.7,102953,860895,12,-0.07,162732,28,26,30,0.61,10.4,1.5,1,25294,-0.43,169470,28,28,29,1.06
6073,California,San Diego,2014,23187,5143,5056,5231,-0.87,7966,16,15,17,-0.42,7928,3.5,3.3,3.7,-0.56,7777,12,11,13,-0.64,23,22,25,-0.31,511840,19,18,20,0,2365,75,1328:1,-0.24,186435,44,43,45,-0.41,55.1,53.9,56.3,0.99,142810,1599133,8.9,-0.88,142756,20,18,21,-0.48,7.9,-0.83,0,13658,-0.52,281165,26,26,27,0.54
6075,California,San Francisco,2014,6749,5244,5064,5424,-0.8,1959,16,14,19,-0.34,1953,3.1,2.8,3.5,-1.11,1914,10,8,12,-1.22,16,14,18,-2.29,96285,14,13,15,-1.46,1233,152,659:1,-2.92,58836,44,42,46,-0.44,59.3,56.8,61.7,0.27,34859,477632,7.3,-1.31,17679,16,13,19,-0.96,8,-0.73,0,0,-0.55,87140,26,25,27,0.4
6077,California,San Joaquin,2014,6634,7088,6872,7304,0.46,1596,22,19,25,0.74,1583,3.8,3.3,4.3,-0.15,1563,16,14,19,0.32,31,28,34,1.89,118365,19,18,20,0.08,410,59,1698:1,0.34,44028,55,53,57,0.41,58.7,56.3,61.2,0.36,45264,298468,15.2,0.78,48563,25,21,28,0.12,8.9,0.1,27,120244,1.73,60880,29,28,29,1.1
6079,California,San Luis Obispo,2014,2346,5229,4912,5546,-0.81,1042,12,9,15,-1.26,1038,3.1,2.5,3.6,-1.11,1020,9,7,12,-1.3,20,17,23,-1.18,39043,18,17,20,-0.2,214,79,1271:1,-0.36,33740,36,34,39,-1.01,68.3,65.3,71.3,-1.29,11531,143069,8.1,-1.11,8239,17,13,20,-0.91,7.5,-1.2,4,10055,-0.21,25700,25,24,26,0.17
6081,California,San Mateo,2014,4922,4135,3971,4298,-1.56,1784,12,10,14,-1.19,1778,3,2.6,3.4,-1.25,1722,11,8,13,-0.99,20,18,23,-1.18,82752,13,12,14,-1.64,701,96,1037:1,-0.98,52224,31,29,32,-1.45,65,62.4,67.5,-0.71,26525,394322,6.7,-1.47,17685,11,9,13,-1.65,8,-0.7,0,110,-0.55,63375,25,24,26,0.09
6083,California,Santa Barbara,2014,3125,5245,4997,5492,-0.8,1253,21,18,25,0.54,1240,3.7,3.1,4.3,-0.29,1220,11,8,13,-0.99,19,17,22,-1.4,79118,22,21,24,0.93,335,78,1274:1,-0.35,41395,31,30,33,-1.4,68.3,65.5,71.2,-1.29,18289,229464,8,-1.13,20168,21,18,25,-0.31,7.2,-1.41,3,13014,-0.26,40795,29,28,30,1.15
