FIPS,State,County,Year,Premature Death - Deaths,Premature Death - Aggregate Population,Premature Death - YPLL Rate,Premature Death -  95% CI - Low,Premature Death -  95% CI - High,Premature Death - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Hospice use - % Hospice Use,Hospice use - 95% CI - Low,Hospice use - 95% CI - High,Hospice use - Z-Score,Unemployment - % unemployed,Unemployment - 95% CI - Low,Unemployment - 95% CI - High,Unemployment - Z-Score,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - GINI,Income inequality - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6077,California,San Joaquin,2010,6484,1869925,7571,7345,7797,0.28,798,19,16,23,0.45,792,3.8,3.2,4.5,-0.03,798,17,14,21,0.56,29,24,35,1.79,16,15,18,-0.85,438,67,85550,69,67,71,0.8,17,16,20,-1.15,10,10,11,0.62,19,17,21,0.12,44,-0.31,19,0.97,1,-0.61
6079,California,San Luis Obispo,2010,2204,716907,5707,5368,6047,-0.83,469,12,9,15,-0.84,464,2.6,2,3.2,-1.27,466,11,8,15,-0.86,22,17,27,-0.55,21,19,23,0.58,238,92,61411,42,41,44,-1.4,34,31,38,0.99,6,6,6,-0.95,12,10,14,-0.95,46,0.66,0,-0.76,2,-0.57
6081,California,San Mateo,2010,5045,1959633,4555,4378,4731,-1.52,862,12,9,16,-0.76,858,3.1,2.5,3.6,-0.82,861,15,12,19,0.13,17,14,21,-1.96,16,15,18,-0.85,853,123,92951,45,44,47,-1.15,28,25,30,0.18,5,5,5,-1.28,7,6,9,-1.64,46,0.86,6,-0.21,0,-0.64
6083,California,Santa Barbara,2010,3127,1126751,5656,5400,5912,-0.87,555,19,15,24,0.43,550,3.8,3,4.7,-0.02,555,13,9,18,-0.53,22,17,28,-0.34,25,24,27,1.83,397,99,75048,43,42,45,-1.31,27,25,30,0.14,5,5,6,-1.05,15,13,17,-0.45,48,1.43,0,-0.76,3,-0.54
6085,California,Santa Clara,2010,10739,4857158,4291,4186,4397,-1.68,2032,14,12,16,-0.39,2019,3,2.6,3.5,-0.83,2032,10,8,12,-1.2,19,17,22,-1.32,15,14,16,-1.11,2172,129,187021,49,48,50,-0.84,29,27,31,0.29,6,6,6,-0.85,10,9,11,-1.24,45,0.38,17,0.79,3,-0.54
6087,California,Santa Cruz,2010,1915,713249,5199,4895,5504,-1.14,444,16,12,22,-0.03,440,3,2.3,3.7,-0.88,444,11,7,16,-0.98,18,14,22,-1.68,22,20,24,0.87,265,106,40738,52,49,54,-0.64,36,33,41,1.29,7,7,8,-0.42,14,12,17,-0.56,46,0.86,15,0.6,0,-0.64
6089,California,Shasta,2010,2539,493130,8626,8153,9100,0.91,386,12,8,16,-0.81,385,3.5,2.8,4.2,-0.38,386,23,18,29,2.07,25,20,32,0.6,14,12,17,-1.37,137,77,49500,57,55,59,-0.18,22,19,25,-0.56,10,10,10,0.52,21,17,24,0.41,45,0.34,1,-0.67,8,-0.36
6091,California,Sierra,2010,46,9322,9253,5442,14710,,12,,,,,12,,,,,12,,,,,24,16,34,,26,23,29,,1,30,1051,57,42,72,,,,,,11,9,12,,18,14,22,,43,,0,,0,
6093,California,Siskiyou,2010,688,120676,9579,8456,10702,1.47,114,,,,0,113,4.2,2.6,5.8,0.35,114,17,10,28,0.53,26,19,34,0.66,19,16,21,-0.15,39,88,15411,56,52,60,-0.28,41,35,49,1.93,10,10,11,0.55,25,21,29,1.08,45,0.09,0,-0.76,0,-0.64
6095,California,Solano,2010,3989,1166266,6868,6595,7142,-0.14,458,14,11,19,-0.35,456,3.7,2.9,4.5,-0.17,458,16,12,21,0.35,25,20,31,0.54,16,14,17,-1,340,84,45035,57,54,59,-0.23,25,21,29,-0.24,7,7,7,-0.55,13,11,14,-0.82,40,-1.77,15,0.6,2,-0.57
