FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score
6035,California,Lassen,2013,392,6849,5932,7766,0.3,160,16,11,23,-0.36,159,3.6,2.6,4.7,-0.28,158,19,11,30,1.01,27,21,33,0.54,3104,14,13,16,-1.38,16,46,2175:1,0.77,2810,70,60,80,1.44,59.1,50,69,0.86,1814,13480,13.5,0.03,1128,19,14,25,-0.55,12.3,0.83,10,2000,0.43
6037,California,Los Angeles,2013,76256,5464,5413,5514,-0.65,11305,23,22,24,0.88,11237,3.8,3.6,4,0.04,11010,13,12,14,-0.26,22,20,23,-0.87,2248384,26,25,26,2.05,6947,71,1414:1,-0.11,539592,60,60,61,0.67,56.1,55,57,1.4,605494,4924364,12.3,-0.29,606778,26,25,27,0.37,10.2,-0.97,7,231625,0.04
6039,California,Madera,2013,1429,6694,6239,7149,0.19,397,30,23,37,2.12,391,4,3,5.1,0.35,386,13,9,18,-0.44,30,25,36,1.53,28784,23,21,25,1.13,69,46,2195:1,0.78,10209,64,59,69,0.99,62.3,57,68,0.3,10134,66369,15.3,0.5,14213,34,27,40,1.43,13.8,2.09,16,6532,1.02
6041,California,Marin,2013,1762,3782,3492,4072,-1.81,895,9,7,12,-1.53,892,3.3,2.6,4,-0.74,883,10,7,13,-1.09,15,13,18,-2.58,23851,12,11,13,-2.12,355,140,712:1,-2.58,25287,35,33,37,-1.3,69.5,66,73,-0.98,9985,135339,7.4,-1.57,5618,11,8,13,-1.74,9.9,-1.22,1,2027,-0.54
6043,California,Mariposa,2013,272,7309,5778,8840,0.61,,,,,0,111,3.2,1.7,4.7,-0.9,,,,,0,24,19,31,-0.07,2412,17,15,19,-0.61,5,27,3653:1,1.43,3251,41,34,49,-0.8,65.4,56,74,-0.25,1140,9680,11.8,-0.42,767,24,18,30,0.15,13.9,2.16,45,2633,3
6045,California,Mendocino,2013,1187,7975,7290,8659,1.07,399,17,12,23,-0.13,392,3.9,2.7,5,0.19,392,18,11,28,0.83,23,19,27,-0.51,15858,22,20,23,0.75,85,97,1033:1,-1.04,11891,41,37,45,-0.82,60.3,56,65,0.64,4675,42837,10.9,-0.65,5931,31,25,38,1.14,10.2,-0.97,1,200,-0.55
6047,California,Merced,2013,2166,6726,6378,7074,0.21,549,23,18,28,0.91,545,4.4,3.6,5.2,0.98,532,14,11,19,-0.08,32,27,37,2,49697,22,20,23,0.81,110,43,2334:1,0.88,20261,62,58,65,0.77,62.8,59,67,0.21,20121,110167,18.3,1.29,28605,36,32,40,1.76,12.3,0.81,5,1700,-0.14
6049,California,Modoc,2013,153,9030,6722,11339,1.79,,,,,0,,,,,0,,,,,0,25,19,32,0.1,1720,23,20,25,1.04,3,31,3231:1,1.3,1774,55,43,66,0.24,54.8,42,67,1.62,580,3905,14.9,0.4,635,32,24,41,1.27,10.7,-0.53,0,0,-0.61
6051,California,Mono,2013,75,3891,3061,4878,-1.73,73,8,3,18,-1.8,73,3.9,1.8,5.9,0.19,72,4,1,13,-2.29,21,15,26,-1.14,3011,24,21,26,1.37,8,56,1778:1,0.4,943,43,28,58,-0.66,67.1,49,86,-0.56,881,8790,10,-0.89,487,16,12,21,-0.98,14.8,2.94,7,850,0.11
6053,California,Monterey,2013,2830,5216,4972,5460,-0.82,1006,22,19,26,0.77,998,3.5,2.9,4.1,-0.43,989,13,10,17,-0.31,22,19,26,-0.62,86376,24,23,26,1.58,261,63,1595:1,0.17,39462,44,42,46,-0.62,66.9,64,70,-0.53,27648,222857,12.4,-0.26,27097,25,21,28,0.18,10.1,-1.07,1,1876,-0.56
6055,California,Napa,2013,1173,5309,4859,5758,-0.76,432,17,12,25,-0.08,430,4,2.7,5.2,0.35,423,9,6,13,-1.29,22,18,27,-0.67,21105,19,17,20,-0.08,115,84,1189:1,-0.58,12010,49,45,52,-0.24,66.5,61,72,-0.44,6888,76460,9,-1.15,5150,17,13,20,-0.93,10.3,-0.85,1,100,-0.55
6057,California,Nevada,2013,1016,5604,5007,6201,-0.56,481,11,7,17,-1.23,477,2.8,1.8,3.7,-1.53,472,14,10,18,-0.19,21,17,25,-1.14,13832,18,16,19,-0.43,73,74,1352:1,-0.22,14716,41,38,44,-0.82,72.6,68,77,-1.54,5410,50960,10.6,-0.73,3170,17,13,22,-0.82,11.6,0.2,2,1180,-0.41
6059,California,Orange,2013,19710,4396,4313,4479,-1.39,6648,15,14,16,-0.45,6622,3.1,2.9,3.4,-1.06,6485,12,10,13,-0.64,21,19,22,-1.12,527030,20,19,21,0.28,2772,92,1088:1,-0.86,185132,45,44,46,-0.49,65.3,64,67,-0.23,139298,1603670,8.7,-1.23,129549,18,16,19,-0.75,11,-0.26,0,350,-0.61
6061,California,Placer,2013,2906,4802,4541,5064,-1.11,1123,10,7,12,-1.42,1120,3,2.5,3.5,-1.21,1102,10,8,13,-0.95,20,18,23,-1.17,36419,12,11,13,-1.94,377,108,929:1,-1.42,26794,35,32,37,-1.32,72.9,69,76,-1.59,18895,175078,10.8,-0.68,8387,10,8,12,-1.87,11.4,0.08,1,1049,-0.55
6063,California,Plumas,2013,295,7082,5694,8470,0.45,137,6,3,12,-2.01,136,3.2,1.4,5.1,-0.9,131,16,9,26,0.23,24,19,30,-0.15,2945,19,17,21,-0.02,18,90,1108:1,-0.8,4216,69,61,78,1.39,65.5,57,74,-0.28,1571,9868,15.9,0.66,753,22,16,28,-0.19,12.1,0.63,32,5668,2.57
